Siruta,Localitate,Judet,Numar absolventi,Populatie
120254,Vanatori,MS,22,516
120316,Voivodeni,MS,15,141
120343,Zagar,MS,13,142
120370,Zau De Campie,MS,29,272
120478,Chibed,MS,18,156
120487,Corunca,MS,13,145
120496,Sarateni,MS,11,183
120502,Madaras,MS,18,155
120511,Bereni,MS,4,80
120726,Municipiul Piatra-Neamt,NT,3060,15691
120771,Dumbrava Rosie,NT,49,517
120824,Savinesti,NT,59,341
120860,Municipiul Roman,NT,1895,9870
120888,Cordun,NT,76,649
120922,Horia,NT,73,663
120968,Oras Bicaz,NT,208,1215
121055,Oras Targu Neamt,NT,869,5118
121108,Agapia,NT,48,280
121153,Bahna,NT,35,333
121242,Baltatesti,NT,55,317
121297,Bicaz-Chei,NT,40,409
121340,Bicazu Ardelean,NT,28,289
121386,Bira,NT,19,174
121466,Bargauani,NT,47,251
121607,Bodesti,NT,34,289
121652,Borca,NT,178,1035
121732,Borlesti,NT,76,603
121796,Botesti,NT,108,537
121876,Bozieni,NT,52,311
121938,Brusturi,NT,56,341
122025,Ceahlau,NT,15,162
122061,Candesti,NT,35,251
122132,Costisa,NT,41,249
122187,Cracaoani,NT,46,349
122249,Damuc,NT,29,276
122285,Dobreni,NT,12,94
122347,Doljesti,NT,65,537
122392,Dragomiresti,NT,28,222
122463,Dulcesti,NT,13,158
122551,Farcasa,NT,36,253
122613,Faurei,NT,32,181
122668,Gheraesti,NT,45,444
122702,Girov,NT,32,269
122828,Garcina,NT,36,255
122864,Grinties,NT,21,164
122908,Grumazesti,NT,50,366
122953,Hangu,NT,43,221
123013,Icusesti,NT,44,459
123102,Ion Creanga,NT,43,455
123175,Margineni,NT,38,294
123228,Moldoveni,NT,21,153
123255,Oniceni,NT,48,548
123371,Pastraveni,NT,52,399
123424,Petricani,NT,79,745
123479,Piatra Soimului,NT,52,523
123521,Pipirig,NT,184,1065
123601,Pangarati,NT,52,349
123674,Podoleni,NT,42,326
123709,Poienari,NT,18,129
123790,Poiana Teiului,NT,61,418
123914,Raucesti,NT,95,828
123969,Razboieni,NT,21,157
124028,Rediu,NT,32,345
124073,Romani,NT,47,332
124117,Oras Roznov,NT,216,1061
124153,Sagna,NT,36,336
124206,Sabaoani,NT,153,1071
124233,Secuieni,NT,26,181
124331,Stanita,NT,15,256
124411,Stefan Cel Mare,NT,38,290
124493,Tarcau,NT,29,182
124563,Tasca,NT,20,155
124616,Tazlau,NT,28,213
124634,Tamaseni,NT,113,805
124661,Timisesti,NT,45,330
124723,Trifesti,NT,49,363
124750,Tupilati,NT,25,175
124803,Tibucani,NT,42,319
124849,Urecheni,NT,52,297
124885,Valea Ursului,NT,61,581
124938,Alexandru Cel Bun,NT,24,345
125016,Vanatori-Neamt,NT,102,830
125061,Zanesti,NT,47,347
125098,Dochia,NT,22,228
125105,Ruginoasa,NT,17,119
125114,Ghindaoani,NT,16,113
125123,Valeni,NT,9,139
125132,Draganesti,NT,22,134
125141,Pancesti,NT,12,150
125150,Gadinti,NT,18,167
125169,Negresti,NT,13,133
125178,Boghicea,NT,37,508
125347,Municipiul Slatina,OT,3255,14262
125374,Slatioara,OT,5,77
125418,Oras Bals,OT,623,3161
125472,Municipiul Caracal,OT,1389,7010
125490,Draghiceni,OT,17,125
125542,Oras Corabia,OT,530,1891
125588,Garcov,OT,19,163
125622,Oras Draganesti-Olt,OT,227,1732
125659,Babiciu,OT,13,128
125677,Baldovinesti,OT,5,68
125757,Barasti,OT,11,65
125846,Barza,OT,15,165
125873,Bobicesti,OT,29,181
125962,Brastavatu,OT,29,345
125999,Brebeni,OT,27,158
126022,Brancoveni,OT,19,178
126077,Bucinisu,OT,12,142
126102,Cezieni,OT,14,109
126148,Cilieni,OT,78,452
126166,Carlogani,OT,19,132
126228,Colonesti,OT,6,92
126326,Corbu,OT,18,170
126380,Coteana,OT,18,127
126406,Crampoia,OT,56,424
126433,Curtisoara,OT,31,203
126503,Cungrea,OT,12,101
126585,Daneasa,OT,34,300
126647,Deveselu,OT,25,160
126674,Dobretu,OT,13,69
126718,Dobrosloveni,OT,32,314
126772,Dobroteasa,OT,14,141
126825,Dobrun,OT,38,242
126905,Fagetelu,OT,4,61
126978,Falcoiu,OT,55,276
127019,Farcasele,OT,56,402
127064,Ganeasa,OT,22,188
127126,Giuvarasti,OT,25,135
127144,Gostavatu,OT,20,169
127171,Gradinari,OT,73,237
127224,Grojdibodu,OT,16,140
127251,Ianca,OT,27,191
127288,Iancu Jianu,OT,80,528
127322,Icoana,OT,19,134
127368,Izbiceni,OT,40,400
127386,Izvoarele,OT,72,640
127411,Leleasca,OT,4,74
127493,Maruntei,OT,41,284
127536,Mihaesti,OT,12,111
127563,Milcov,OT,11,65
127625,Morunglav,OT,19,151
127689,Movileni,OT,38,210
127714,Nicolae Titulescu,OT,9,77
127750,Obarsia,OT,25,189
127812,Oboga,OT,11,91
127858,Oporelu,OT,12,87
127901,Optasi-Magura,OT,6,63
127938,Orlea,OT,16,121
127983,Osica De Sus,OT,90,612
128052,Perieti,OT,21,199
128105,Oras Piatra-Olt,OT,91,602
128178,Parscoveni,OT,25,236
128221,Plesoiu,OT,21,148
128301,Poboru,OT,10,129
128374,Oras Potcoava,OT,147,836
128436,Priseaca,OT,5,56
128472,Radomiresti,OT,27,213
128524,Redea,OT,29,170
128560,Rotunda,OT,29,183
