,u1,u2,u3,u4
199,-0.09421957445646333,-5.2862119109014674e-05,-3.75962508087827e-05,8.255789802385281e-08
200,-0.14745681846875575,-5.283461030251203e-05,-3.7747173492965894e-05,8.311761497618766e-08
201,-0.08345030129699729,-5.2867683819536004e-05,-3.7565720911112555e-05,8.244467381656542e-08
202,-0.12655175880626288,-5.284541238762322e-05,-3.768790957395954e-05,8.289782680909644e-08
203,-0.093098790371994,-5.2862698241770314e-05,-3.759307348911608e-05,8.25461145090701e-08
204,-0.10596344247198958,-5.285605080477603e-05,-3.762954359312076e-05,8.26813687657499e-08
205,-0.12236100092520368,-5.284757784058132e-05,-3.7676029161291955e-05,8.28537667103372e-08
206,-0.09680225082502303,-5.286078458567676e-05,-3.760357245845026e-05,8.258505134054006e-08
207,-0.11429622849130494,-5.285174507855302e-05,-3.7653166274122184e-05,8.276897663654647e-08
208,-0.1141987690056989,-5.285179543792593e-05,-3.76528899854555e-05,8.276795198308692e-08
209,-0.11641597230323603,-5.285064976222696e-05,-3.76591755526229e-05,8.279126284929091e-08
210,-0.030944003426750088,-5.2894814930734784e-05,-3.741687039193177e-05,8.189264176518366e-08
211,-0.056941321212157864,-5.288138156846746e-05,-3.749057039377307e-05,8.216596807554155e-08
212,-0.1041604419882781,-5.285698245317063e-05,-3.7624432252785544e-05,8.266241267674432e-08
213,-0.05582053712768855,-5.2881960701243713e-05,-3.7487393074105825e-05,8.215418456075823e-08
214,-0.05686822659795334,-5.288141933800051e-05,-3.749036317727264e-05,8.216519958544743e-08
215,-0.05733115915458197,-5.2881180130982136e-05,-3.7491675548439654e-05,8.21700666893813e-08
216,-0.02073512230951872,-5.2900090074861474e-05,-3.7387929154095636e-05,8.178530931528619e-08
217,-0.13098616540133712,-5.284312103623916e-05,-3.7700480708293905e-05,8.294444854150442e-08
218,-0.11229830903638136,-5.2852777445652216e-05,-3.7647502356455724e-05,8.274797124062301e-08
219,-0.12474875832255136,-5.2846344036003945e-05,-3.768279823362519e-05,8.287887072009425e-08
220,-0.030895273683947063,-5.28948401104143e-05,-3.741673224759886e-05,8.189212943845303e-08
221,-0.11780476997312193,-5.2849932141206116e-05,-3.766311266612247e-05,8.28058641610947e-08
222,-0.08023413827199839,-5.2869345678764176e-05,-3.755660338511275e-05,8.241086025240093e-08
223,-0.12011943275626508,-5.284873610613424e-05,-3.766967452195699e-05,8.283019968075824e-08
224,-0.13476272046857068,-5.2841169610599726e-05,-3.771118689412753e-05,8.298415386306986e-08
225,-0.10091991409187769,-5.2858656902251915e-05,-3.7615245654618255e-05,8.262834294921088e-08
226,-0.031845503668605835,-5.289434910654779e-05,-3.7419426062098846e-05,8.190211980968444e-08
227,-0.14565381798504423,-5.2835541950905375e-05,-3.774206215263038e-05,8.309865888719536e-08
228,-0.08688574816460976,-5.286590865169503e-05,-3.7575460086614076e-05,8.248079285101627e-08
229,-0.011257187334332565,-5.290498752370244e-05,-3.736106008125984e-05,8.168566176633547e-08
230,-0.1209234735125148,-5.2848320641323517e-05,-3.767195390345772e-05,8.283865307180595e-08
231,-0.08393759872502744,-5.286743202267104e-05,-3.756710235444688e-05,8.244979708386533e-08
232,-0.09534035854093262,-5.286153997621781e-05,-3.759942812845101e-05,8.25696815386469e-08
233,-0.10252799560437714,-5.285782597261743e-05,-3.7619804417618766e-05,8.264524973129519e-08
234,-0.10898468652577643,-5.285448966426676e-05,-3.763810854178798e-05,8.271313302299604e-08
235,-0.022635582278836247,-5.289910806711804e-05,-3.739331678309669e-05,8.180529005774902e-08
236,-0.11573375590399385,-5.28510022778247e-05,-3.765724153195556e-05,8.278409027507434e-08
237,-0.13037704361629943,-5.2843435782330566e-05,-3.7698753904127105e-05,8.293804445740263e-08
238,-0.04634260215250239,-5.288685815008284e-05,-3.7460524001270045e-05,8.205453701180868e-08
239,-0.05370079331575745,-5.288305601755569e-05,-3.748138379560557e-05,8.213189834801149e-08
240,-0.04758521059397924,-5.288621606810055e-05,-3.7464046681770245e-05,8.206760134341721e-08
241,-0.05840321349624828,-5.288062617790622e-05,-3.7494714723772906e-05,8.218133787743823e-08
242,-0.09529162879812962,-5.2861565155924874e-05,-3.759928998411639e-05,8.256916921191313e-08
243,-0.09526726392672812,-5.2861577745778404e-05,-3.7599220911949294e-05,8.256891304854709e-08
244,-0.11237140365058591,-5.28527396761463e-05,-3.764770957295449e-05,8.274873973071869e-08
245,-0.11027602471005632,-5.285382240261883e-05,-3.76417693666213e-05,8.272670968133352e-08
246,-0.1369311940233048,-5.2840049114607816e-05,-3.7717334316962045e-05,8.300695240255531e-08
247,-0.08483909896688319,-5.286696619847395e-05,-3.756965802461425e-05,8.245927512836873e-08
248,-0.04502689909682102,-5.288753800158472e-05,-3.74567941042698e-05,8.204070419010132e-08
249,-0.12223917656819616,-5.284764078980818e-05,-3.76756838004577e-05,8.285248589350606e-08
250,-0.10177268459093042,-5.285821625774801e-05,-3.761766318045231e-05,8.263730866698727e-08
251,-0.09641241288259894,-5.2860986023169234e-05,-3.760246730378344e-05,8.258095272670261e-08
252,-0.10252799560437714,-5.285782597261743e-05,-3.7619804417618766e-05,8.264524973129519e-08
253,-0.0819884090129069,-5.2868439210090934e-05,-3.756157658111287e-05,8.242930401467057e-08
254,-0.09146634398809304,-5.286354176124445e-05,-3.758844565394892e-05,8.252895156361974e-08
255,-0.14251074957424983,-5.283716604060029e-05,-3.77331518431306e-05,8.306561381312607e-08
256,-0.10148030613411237,-5.2858367335867576e-05,-3.76168343144513e-05,8.26342347066009e-08
